Designation,Name,Location,Level_and_involvement,Total_applicants,Industry_and_Employee_count,LinkedIn_Followers
Sr. Systems Engineer - Devops (2-3 years) - Jaipur,Infosys,"Jaipur, Rajasthan, India",Full-time · Mid-Senior level,21 applicants,"10,001+ employees · IT Services and IT Consulting",
Lead - Credit Research,Sutherland,"Navi Mumbai, Maharashtra, India",Full-time · Mid-Senior level,4 applicants,"10,001+ employees · IT Services and IT Consulting",
Senior Consultant - System Management,LTIMindtree,"Mumbai, Maharashtra, India",Full-time · Mid-Senior level,2 applicants,"10,001+ employees · IT Services and IT Consulting",
Lead-Platform Solution,Sutherland,"Chennai, Tamil Nadu, India",Full-time · Entry level,,"10,001+ employees · IT Services and IT Consulting",
Lead-Platform Solution,Sutherland,"Chennai, Tamil Nadu, India",Full-time · Entry level,,"10,001+ employees · IT Services and IT Consulting",
Associate-CS Internet (IND01-AY11AH),Sutherland,"Chennai, Tamil Nadu, India",Internship · Entry level,1 applicant,"10,001+ employees · IT Services and IT Consulting",
AGM- Credit Operations,Vodafone Idea Limited,"Jaipur, Rajasthan, India",Full-time · Mid-Senior level,45 applicants,"10,001+ employees · Telecommunications",
Associate-CS Internet,Sutherland,"Chennai, Tamil Nadu, India",Internship · Entry level,3 applicants,"10,001+ employees · IT Services and IT Consulting",
Data Scientist,Wipro,"Bengaluru, Karnataka, India",Full-time · Associate,,"10,001+ employees · IT Services and IT Consulting","6,403,775 followers"
Quality Analyst Automation,Uplers,"Coimbatore, Tamil Nadu, India",Full-time · Associate,152 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,131 followers"
AM-HRO-Hyd-HMS025342,Genpact,"Hyderabad, Telangana, India",Full-time · Associate,106 applicants,"10,001+ employees · IT Services and IT Consulting",
SOC Lead II,UST,"Thiruvananthapuram, Kerala, India",Full-time · Mid-Senior level,2 applicants,"10,001+ employees · IT Services and IT Consulting",
Data Scientist Remote,Uplers,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,,"1,001-5,000 employees · IT Services and IT Consulting","668,132 followers"
Senior Manager-BFS024376,Genpact,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,19 applicants,"10,001+ employees · IT Services and IT Consulting",
Lead Administrator,Wipro,"Mumbai, Maharashtra, India",Full-time · Mid-Senior level,9 applicants,"10,001+ employees · IT Services and IT Consulting",
Associate-IT Helpdesk,Sutherland,"Chennai, Tamil Nadu, India",Full-time · Entry level,9 applicants,"10,001+ employees · IT Services and IT Consulting",
Technology Analyst - Oracle PL/SQL (3-5 years) - Trivandrum,Infosys,"Trivandrum, Kerala, India",Full-time · Associate,25 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,845 followers"
Manager - Process Improvement,Sutherland,"Chennai, Tamil Nadu, India",Full-time · Mid-Senior level,2 applicants,"10,001+ employees · IT Services and IT Consulting",
AWS Kinesis Application Developer,Accenture in India,"Jaipur, Rajasthan, India",Full-time · Mid-Senior level,10 applicants,"10,001+ employees · IT Services and IT Consulting",
Technology Lead -DevOps,Infosys,"Pune, Maharashtra, India",Full-time · Associate,60 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,845 followers"
Assistant Project Lead,JLL,"Hyderabad, Telangana, India",Full-time · Entry level,30 applicants,"10,001+ employees · Real Estate",
Data Analyst,EY,"Bengaluru, Karnataka, India",Internship · Mid-Senior level,,"10,001+ employees · Accounting",
Process Associate - RTR-BFS023910,Genpact,"Jaipur, Rajasthan, India",Full-time · Entry level,78 applicants,"10,001+ employees · IT Services and IT Consulting",
Technology Analyst-Java,Infosys,"Chandigarh, India",Full-time · Mid-Senior level,67 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,846 followers"
Lead-Platform Solution,Sutherland,"Chennai, Tamil Nadu, India",Full-time · Entry level,1 applicant,"10,001+ employees · IT Services and IT Consulting",
Technology Analyst,Infosys,"Bengaluru, Karnataka, India",Full-time · Associate,,"10,001+ employees · IT Services and IT Consulting","6,456,852 followers"
